                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    112,                 1.5843,                0.94334,                 1.2884,                0.74706,                0.59941,                 0.5791,                0.29691,                 2.0537,                 1.3404,                 1.7056,              0.0095604,              0.0095604,              0.0095604
                    113,                 1.5713,                0.93872,                 1.2918,                0.86003,                 0.6255,                0.63671,                0.35853,                 1.9808,                 1.3928,                 1.7071,              0.0095565,              0.0095565,              0.0095565
                    114,                  1.575,                0.95066,                 1.3044,                0.91111,                0.53389,                0.60599,                0.33114,                 2.0911,                 1.4075,                 1.7447,              0.0095525,              0.0095525,              0.0095525
                    115,                 1.5471,                0.92492,                 1.2818,                0.87977,                0.61711,                0.66279,                0.32734,                 2.0289,                 1.2493,                  1.704,              0.0095486,              0.0095486,              0.0095486
                    116,                 1.5729,                0.92104,                 1.2869,                0.52353,                0.57942,                0.56613,                0.31842,                   2.12,                 1.4197,                 1.7492,              0.0095446,              0.0095446,              0.0095446
                    117,                 1.5839,                0.93734,                 1.2912,                0.83272,                0.60964,                0.66671,                0.36575,                 1.9838,                 1.2852,                 1.6616,              0.0095406,              0.0095406,              0.0095406
                    118,                 1.5625,                0.92775,                 1.2849,                0.88419,                0.50556,                0.60099,                0.30518,                 2.1601,                 1.5177,                 1.7606,              0.0095367,              0.0095367,              0.0095367
                    119,                 1.5554,                0.93202,                 1.2891,                0.83253,                0.56139,                0.60383,                0.30352,                 2.0692,                 1.3229,                 1.7308,              0.0095327,              0.0095327,              0.0095327
                    120,                 1.5709,                0.93073,                  1.299,                0.88115,                0.61949,                0.65075,                0.38696,                 2.0491,                 1.3419,                 1.7023,              0.0095288,              0.0095288,              0.0095288
                    121,                 1.5621,                0.93846,                  1.287,                0.88589,                0.61599,                0.66872,                0.38596,                 1.9649,                 1.2698,                 1.6736,              0.0095248,              0.0095248,              0.0095248
                    122,                 1.5484,                 0.9151,                  1.286,                0.52068,                0.61295,                0.62199,                0.33207,                 2.0591,                 1.3641,                 1.7409,              0.0095208,              0.0095208,              0.0095208
                    123,                 1.5513,                0.91981,                 1.2738,                 0.7159,                0.62061,                0.67929,                0.36854,                 2.0457,                 1.2749,                 1.7272,              0.0095169,              0.0095169,              0.0095169
                    124,                 1.5666,                0.92424,                 1.2845,                0.83341,                0.61615,                0.62987,                0.31493,                 2.0713,                 1.2649,                 1.7064,              0.0095129,              0.0095129,              0.0095129
                    125,                 1.5428,                0.90843,                 1.2641,                0.81237,                0.62762,                0.64829,                0.36578,                 2.0032,                 1.3455,                 1.7144,               0.009509,               0.009509,               0.009509
                    126,                 1.5484,                0.90414,                  1.279,                0.74442,                0.63082,                0.64239,                0.29359,                 2.0775,                 1.5067,                  1.755,               0.009505,               0.009505,               0.009505
                    127,                   1.53,                0.89663,                 1.2801,                0.55176,                0.57427,                0.64409,                0.32993,                 1.9946,                 1.3338,                 1.6824,               0.009501,               0.009501,               0.009501
                    128,                 1.5427,                0.90663,                 1.2833,                0.88938,                0.62652,                0.67473,                0.36586,                 2.0785,                  1.295,                 1.7456,              0.0094971,              0.0094971,              0.0094971
                    129,                 1.5617,                0.91778,                 1.2789,                0.66544,                0.59419,                0.63995,                0.35403,                 2.0287,                 1.3657,                  1.731,              0.0094931,              0.0094931,              0.0094931
                    130,                 1.5266,                0.90868,                 1.2752,                0.88903,                0.55993,                0.64334,                 0.3389,                 2.1015,                 1.3833,                 1.7516,              0.0094892,              0.0094892,              0.0094892
                    131,                 1.5483,                0.91524,                 1.2757,                0.47758,                0.63711,                0.61169,                0.33269,                  2.001,                  1.259,                 1.7254,              0.0094852,              0.0094852,              0.0094852
                    132,                 1.5272,                0.89307,                 1.2595,                0.82784,                0.61838,                0.65484,                0.35036,                 2.0288,                 1.2678,                 1.7656,              0.0094812,              0.0094812,              0.0094812
                    133,                 1.5147,                0.89429,                 1.2641,                0.83484,                0.58597,                0.63649,                0.35622,                 2.0677,                 1.3665,                 1.7848,              0.0094773,              0.0094773,              0.0094773
